Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1		Checked																																																		
Background0	Blank	A2		Checked																																																		
Standard1	Standard	B1		Indeterminate	49009.27		1345.40	20172.62	7022.80	5385.24	16562.73	163338.69	15974.50	11632.11	5892.52	12584.12	4463.64	4387.59	1520.68	35920.75	20522.81	10814.17	31868.55	2064.51	5186.16	9863.88	505.02	3717.83	2522.74	9261.39	1877.88	10741.75	8046.70	668.47	9688.92	6302.95	1947.58	1288.31	1816.15	2430.36	8059.01		3852.38	42620.60	376.71	2194.70	4756.02		188246.27	8336.02	8801.66	294.32	18282.09	4737.84
Standard1	Standard	B2		Indeterminate	44821.85		925.32	18290.42	6413.53	5320.80	15112.39	148382.98	15275.83	11323.81	5408.70	12218.02	4278.79	4155.13	1469.98	29622.56	19585.65	10527.61	30309.12	1947.84	4968.37	9546.43	446.90	3427.15	2327.57	8662.51	1858.50	10172.69	7734.40	627.20	6315.06	5953.57	1837.74	1250.22	1719.04	2413.12	8112.72		3320.93	39615.33	342.20	2047.02	4591.34	9786.00	182406.22	6896.18	8423.34	269.14	17536.17	4476.66
Standard2	Standard	C1		Indeterminate	16016.62		451.96	6600.20	2381.88	2224.61	6888.46	52443.95	5806.17	4142.79	2066.96	4666.62	1939.42	1428.73	538.15	11253.68	6635.29	3653.92	11100.74	723.18	1845.84	3554.91	267.93	1354.26	891.24	3625.52	659.80	3944.77	3089.39	233.28	1896.55	2208.38	676.47	444.29	602.13	917.09	4754.35	6237.69	1004.56	17121.01	161.30	875.29	1756.86	3767.92	65065.67	1807.72	3245.42	94.55	6730.18	1717.17
Standard2	Standard	C2		Indeterminate	15062.21		407.29	6324.65	2292.25	2093.59	6715.10	48223.25	5635.60	3819.26	1980.20	4471.45	1900.87	1336.01	496.95	9805.40	6242.86	3512.45	10524.24	679.05	1729.27	3343.86	245.43	1237.94	863.15	3214.85	622.28	3576.53	2926.27	213.54	1810.40	2064.28	629.59	428.56	569.45	869.25	4579.24	5070.86	953.82	16412.11	153.85	837.24	1673.67	3518.97	63952.59	1711.74	3075.51	89.78	6317.27	1606.19
Standard3	Standard	D1		Indeterminate	5239.96		156.42	2134.72	743.35	623.05	1983.12	17421.85	1801.55	1339.41	634.02	1473.74	695.88	470.87	170.27	3646.12	2169.66	1214.16	3569.33	219.95	577.97	1119.57	78.22	396.95	268.86	1040.03	216.02	1202.20	903.20	71.80	639.26	686.59	211.40	143.76	200.58	284.26	1706.27	1676.93	333.80	5213.75	46.61	277.66	537.74	1287.19	19512.01	649.58	980.72	31.42	2011.25	521.40
Standard3	Standard	D2		Indeterminate	4936.07		147.51	2084.54	720.60	607.50	1933.90	16071.35	1741.64	1252.54	611.92	1452.46	682.46	440.27	159.32	3386.77	2068.89	1159.71	3436.35	214.00	554.02	1081.63	73.83	367.06	262.09	987.90	204.50	1151.56	849.13	69.04	621.07	652.70	202.61	135.08	193.98	275.45	1640.35	1612.29	328.31	5121.32	43.81	260.88	508.26	1233.93	19110.72	616.37	946.87	29.75	1934.77	503.46
Standard4	Standard	E1		Checked	1848.01		51.86	750.19	262.96	214.71	680.51	6235.66	618.18	452.85	224.96	516.86	225.32	168.98	60.03	1236.24	767.49	414.58	1227.73	79.61	205.13	387.43	27.78	139.85	94.56	354.37	74.43	424.85	308.53	25.62	218.76	244.64	75.01	50.29	67.52	98.40	535.08	612.20	111.34	1846.89	16.14	96.71	184.67	452.04	7072.71	218.16	343.30	11.21	714.14	183.54
Standard4	Standard	E2		Indeterminate	1688.11		45.27	689.69	242.67	198.10	647.44	5441.21	567.84	420.21	205.09	491.68	211.01	150.63	53.39	1129.91	676.27	384.80	1149.71	72.20	183.12	359.03	24.81	118.10	86.78	318.51	66.68	385.85	285.89	23.48	199.66	224.01	67.32	48.33	63.36	94.84	505.24	553.31	110.27	1719.92	14.76	85.20	172.17	425.73	6369.69	197.82	315.24	9.90	656.06	164.53
