Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1		Checked																																																		
Background0	Blank	A2		Checked																																																		
Standard1	Standard	B1		Indeterminate	49002.878	275610.032	1381.993	20174.882	6753.421	5292.137	17479.470	163307.848	15974.638	11632.281	5892.839	11683.292	5319.916	4275.322	1552.555	34711.181	20519.998	10812.726	31869.645	2064.638	5185.900	9863.573	831.763	3671.025	2522.374	8903.119	1877.235	10742.470	7862.675	668.327	6249.868	6302.815	1947.770	1252.784	1816.220	2430.567	12728.023		3287.679	45515.511	394.744	2344.172	4755.963		191005.754	8348.239	8801.541	296.012	18281.726	4737.804
Standard1	Standard	B2		Indeterminate	44817.373	256434.872	930.125	18291.786	6270.204	5229.648	15778.590	148357.851	15275.993	11323.983	5408.790	11119.695	4941.711	4058.902	1500.767	28982.105	19583.307	10526.252	30309.986	1947.935	4968.187	9546.263	576.191	3383.440	2327.389	8285.923	1857.880	10173.059	7560.563	627.109	5326.323	5953.450	1837.867	1219.431	1719.118	2413.321	12959.004		2973.092	41951.226	354.643	2163.661	4591.304	9469.958	185035.214	6900.234	8423.297	269.899	17535.968	4476.609
Standard2	Standard	C1		Checked	16017.615	111322.829	452.050	6600.151	2459.420	2196.490	6898.087	52439.070	5806.224	4142.737	2066.867	4590.703	1966.247	1448.004	547.278	11230.516	6635.870	3653.865	11100.578	723.136	1845.957	3555.015	260.387	1335.984	891.357	3397.644	659.798	3944.511	3032.171	233.336	1894.319	2208.442	676.400	454.670	602.129	916.985	5113.869	5990.963	1004.138	17240.959	160.642	881.501	1756.895	3767.197	65479.747	1807.619	3245.488	93.522	6730.345	1717.185
Standard2	Standard	C2		Indeterminate	15063.177	104662.454	407.308	6324.602	2366.523	2067.328	6720.118	48218.766	5635.652	3819.199	1980.116	4425.774	1925.808	1355.709	505.121	9793.110	6243.430	3512.411	10524.089	679.006	1729.386	3343.947	235.490	1221.239	863.258	3014.518	622.279	3576.309	2872.171	213.588	1809.322	2064.344	629.528	438.727	569.451	869.156	4875.923	4956.848	953.784	16510.051	153.035	842.457	1673.703	3518.721	64350.997	1711.654	3075.576	88.816	6317.412	1606.208
Standard3	Standard	D1		Indeterminate	5240.159	38530.854	156.382	2134.709	748.816	616.002	1952.266	17419.984	1801.542	1339.380	634.031	1553.783	695.407	479.814	171.585	3649.664	2169.881	1214.185	3569.339	219.942	577.982	1119.557	76.304	391.820	268.866	993.935	216.036	1202.199	885.030	71.803	639.949	686.604	211.384	146.032	200.566	284.269	1684.572	1678.816	333.924	5206.296	45.632	277.059	537.746	1287.408	19455.136	649.617	980.711	31.332	2011.241	521.409
Standard3	Standard	D2		Indeterminate	4936.234	89311.699	147.480	2084.535	725.224	600.658	1903.469	16069.604	1741.629	1252.512	611.926	1531.085	681.947	448.394	160.453	3390.181	2069.093	1159.739	3436.353	213.993	554.037	1081.615	72.238	362.345	262.086	945.244	204.522	1151.566	831.907	69.040	621.719	652.717	202.603	137.050	193.971	275.461	1619.791	1614.134	328.422	5114.138	42.873	260.290	508.260	1234.134	19052.000	616.410	946.855	29.689	1934.760	503.476
Standard4	Standard	E1		Checked	1847.932	13357.139	51.860	750.193	257.057	213.108	666.166	6234.946	618.167	452.848	224.968	523.600	224.989	169.725	59.877	1237.202	767.527	414.595	1227.730	79.620	205.127	387.430	28.047	138.133	94.544	347.807	74.436	424.865	301.272	25.615	218.757	244.635	75.017	49.862	67.511	98.405	535.641	612.254	111.330	1847.072	15.749	96.548	184.669	452.051	6999.077	218.172	343.291	11.289	714.127	183.536
Standard4	Standard	E2		Checked	1688.030	11504.009	45.269	689.694	236.788	196.744	633.669	5440.593	567.831	420.212	205.091	496.804	210.721	150.965	53.194	1130.730	676.301	384.813	1149.716	72.207	183.112	359.033	25.073	116.658	86.764	313.449	66.682	385.864	279.079	23.476	199.647	224.010	67.326	47.877	63.355	94.838	506.007	553.308	110.257	1720.177	14.403	85.083	172.169	425.736	6298.662	197.826	315.233	9.971	656.051	164.525
