Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1		Checked																																																		
Background0	Blank	A2		Checked																																																		
Standard1	Standard	B1		Checked	46670.00	333335.00	1310.00	19290.00	6785.00	5805.00	18380.00	153345.00	16280.00	11750.00	5785.00	13470.00	5955.00	4190.00	1520.00	31445.00	19440.00	10700.00	31900.00	2035.00	5200.00	10075.00	700.00	3540.00	2480.00	9110.00	1900.00	10940.00	8130.00	655.00	5620.00	6220.00	1915.00	1280.00	1760.00	2580.00	14455.00	15490.00	2950.00	47820.00	420.00	2440.00	4855.00	11425.00	182965.00	5535.00	8970.00	280.00	18570.00	4745.00
Standard1	Standard	B2		Checked	46670.00	333335.00	1310.00	19290.00	6785.00	5805.00	18380.00	153345.00	16280.00	11750.00	5785.00	13470.00	5955.00	4190.00	1520.00	31445.00	19440.00	10700.00	31900.00	2035.00	5200.00	10075.00	700.00	3540.00	2480.00	9110.00	1900.00	10940.00	8130.00	655.00	5620.00	6220.00	1915.00	1280.00	1760.00	2580.00	14455.00	15490.00	2950.00	47820.00	420.00	2440.00	4855.00	11425.00	182965.00	5535.00	8970.00	280.00	18570.00	4745.00
Standard2	Standard	C1		Checked	15556.67	111111.67	436.67	6430.00	2261.67	1935.00	6126.67	51115.00	5426.67	3916.67	1928.33	4490.00	1985.00	1396.67	506.67	10481.67	6480.00	3566.67	10633.33	678.33	1733.33	3358.33	233.33	1180.00	826.67	3036.67	633.33	3646.67	2710.00	218.33	1873.33	2073.33	638.33	426.67	586.67	860.00	4818.33	5163.33	983.33	15940.00	140.00	813.33	1618.33	3808.33	60988.33	1845.00	2990.00	93.33	6190.00	1581.67
Standard2	Standard	C2		Checked	15556.67	111111.67	436.67	6430.00	2261.67	1935.00	6126.67	51115.00	5426.67	3916.67	1928.33	4490.00	1985.00	1396.67	506.67	10481.67	6480.00	3566.67	10633.33	678.33	1733.33	3358.33	233.33	1180.00	826.67	3036.67	633.33	3646.67	2710.00	218.33	1873.33	2073.33	638.33	426.67	586.67	860.00	4818.33	5163.33	983.33	15940.00	140.00	813.33	1618.33	3808.33	60988.33	1845.00	2990.00	93.33	6190.00	1581.67
Standard3	Standard	D1		Checked	5185.56	37037.22	145.56	2143.33	753.89	645.00	2042.22	17038.33	1808.89	1305.56	642.78	1496.67	661.67	465.56	168.89	3493.89	2160.00	1188.89	3544.44	226.11	577.78	1119.44	77.78	393.33	275.56	1012.22	211.11	1215.56	903.33	72.78	624.44	691.11	212.78	142.22	195.56	286.67	1606.11	1721.11	327.78	5313.33	46.67	271.11	539.44	1269.44	20329.44	615.00	996.67	31.11	2063.33	527.22
Standard3	Standard	D2		Checked	5185.56	37037.22	145.56	2143.33	753.89	645.00	2042.22	17038.33	1808.89	1305.56	642.78	1496.67	661.67	465.56	168.89	3493.89	2160.00	1188.89	3544.44	226.11	577.78	1119.44	77.78	393.33	275.56	1012.22	211.11	1215.56	903.33	72.78	624.44	691.11	212.78	142.22	195.56	286.67	1606.11	1721.11	327.78	5313.33	46.67	271.11	539.44	1269.44	20329.44	615.00	996.67	31.11	2063.33	527.22
Standard4	Standard	E1		Checked	1728.52	12345.74	48.52	714.44	251.30	215.00	680.74	5679.44	602.96	435.19	214.26	498.89	220.56	155.19	56.30	1164.63	720.00	396.30	1181.48	75.37	192.59	373.15	25.93	131.11	91.85	337.41	70.37	405.19	301.11	24.26	208.15	230.37	70.93	47.41	65.19	95.56	535.37	573.70	109.26	1771.11	15.56	90.37	179.81	423.15	6776.48	205.00	332.22	10.37	687.78	175.74
Standard4	Standard	E2		Checked	1728.52	12345.74	48.52	714.44	251.30	215.00	680.74	5679.44	602.96	435.19	214.26	498.89	220.56	155.19	56.30	1164.63	720.00	396.30	1181.48	75.37	192.59	373.15	25.93	131.11	91.85	337.41	70.37	405.19	301.11	24.26	208.15	230.37	70.93	47.41	65.19	95.56	535.37	573.70	109.26	1771.11	15.56	90.37	179.81	423.15	6776.48	205.00	332.22	10.37	687.78	175.74
