Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1,A2	2	Checked																																																		
Standard1	Standard	B1,B2	2	Checked	100.53	160.51		99.70	95.97	90.17	90.48	101.64	95.98	97.68	97.68	87.95	86.18	99.44	100.52	101.32	103.16	99.73	97.46	98.58	97.64	96.33	100.64	99.64	97.79	94.34	98.33	95.59	94.86	98.91	102.99	98.53	98.83	96.57	100.43	93.87	88.85		106.14	91.45	89.20	92.36	96.27		102.75	114.01	96.01	100.07	96.44	97.10
Standard2	Standard	C1,C2	2	Checked	99.89	78.11	99.16	100.50	106.69	112.36	111.13	98.47	105.42	101.64	104.94	99.53	98.01	100.38	103.86	100.28	99.37	100.46	101.68	103.36	103.13	102.71	106.23	108.36	106.11	105.58	101.22	103.13	108.93	102.33	98.85	103.04	102.30	104.70	99.85	103.86	103.67	99.61	99.55	105.87	112.04	106.00	105.99	94.66	106.44	95.29	105.70	100.49	105.39	105.06
Standard3	Standard	D1,D2	2	Checked	98.12	131.08	104.35	98.43	97.77	94.38	94.40	98.29	97.94	99.27	96.92	102.39	104.08	99.70	98.29	100.75	98.11	99.84	98.83	95.96	97.96	98.32	95.50	95.87	96.34	95.79	99.60	96.82	95.03	96.75	101.02	96.89	97.29	99.52	100.88	97.62	102.87	95.87	101.04	97.12	94.83	99.10	96.95	99.26	94.71	103.03	96.70	100.06	95.62	97.19
Standard4	Standard	E1,E2	2	Checked	102.29	89.44	100.02	100.77	98.26	93.48	95.47	102.80	98.35	100.31	100.36	102.27	98.78	103.32	100.42	101.66	100.26	100.86	100.61	100.71	100.80	100.02	102.44	97.16	98.71	97.99	100.26	100.04	96.37	101.20	100.51	101.72	100.34	103.07	100.38	101.11	97.28	101.60	101.41	100.71	96.89	100.48	99.23	103.77	98.12	101.46	99.11	102.23	99.61	99.03
Standard5	Standard	F1,F2	2	Checked	98.04	108.45	98.65	99.03	97.54	100.26	97.81	99.25	100.86	99.25	98.66	96.53	98.83	97.69	95.67	98.25	98.55	99.41	99.77	99.25	99.09	98.44	97.20	98.88	99.51	100.32	99.35	99.56	99.19	97.85	98.50	98.06	100.04	95.42	98.57	100.47	102.03	96.91	99.48	100.12	101.97	98.18	98.57	96.37	97.68	98.58	97.06	97.49	99.58	98.98
Standard6	Standard	G1,G2	2	Checked	101.27	115.78	105.80	101.03	107.80	113.26	107.53	101.73	105.15	102.62	102.69	103.14	102.05	106.31	106.79	104.81	104.52	103.57	100.69	101.37	104.57	102.74	100.69	109.64	104.79	103.94	102.61	103.75	105.88	104.77	102.56	104.90	102.29	103.82	102.65	99.85	98.30	102.64	101.04	101.40	108.50	105.46	107.07	103.93	109.79	104.00	105.21	103.30	104.90	105.05
Standard7	Standard	H1,H2	2	Checked	100.16	120.09	95.35	100.76	101.94	98.69	95.77	99.93	96.32	98.15	99.79	104.75	99.18	97.94	94.39	99.68	99.09	100.19	100.09	100.00	99.20	95.82	100.20	97.20	98.51	99.63	99.10	99.75	94.81	99.46	99.41	100.44	97.59	95.82	99.66	100.33	100.93	99.50	98.86	99.19	98.32	97.77	97.19	96.97	91.74	97.09	98.83	113.95	99.54	99.31
Unknown1	Unknown	A3,A5	2	Checked																																																		
Unknown2	Unknown	B3,B5	2	Checked																																																		
Unknown3	Unknown	C3,C5	2	Indeterminate																																																		
Unknown4	Unknown	D3,D5	2	Checked																																																		
Unknown5	Unknown	E3,E5	2	Checked																																																		
Unknown6	Unknown	F3,F5	2	Checked																																																		
Unknown7	Unknown	G3,G5	2	Checked																																																		
Unknown8	Unknown	H3,H5	2	Checked																																																		
Unknown9	Unknown	A4,A6	2	Checked																																																		
Unknown10	Unknown	B4,B6	2	Checked																																																		
Unknown11	Unknown	C4,C6	2	Indeterminate																																																		
Unknown12	Unknown	D4,D6	2	Checked																																																		
Unknown13	Unknown	E4,E6	2	Checked																																																		
Unknown14	Unknown	F4,F6	2	Checked																																																		
Unknown15	Unknown	G4,G6	2	Indeterminate																																																		
Unknown16	Unknown	H4,H6	2	Checked																																																		
