Sample	Use	Well(s)	n	Included	B7-H1	CD40 Lig	EGF	Eotaxin	FGF-basic (CDXY)	FGF-basic (HR)	Flt-3 Lig	Fractalkine	G-CSF	GM-CSF	Granzyme B	GRO alpha	GRO beta	IFN-alpha2	IFN-beta	IFN-gamma	IL-10	IL-12p70	IL-13	IL-15	IL-17A	IL-17E	IL-1alpha (BYU)	IL-1alpha (GX)	IL-1beta	IL-1ra	IL-2	IL-3	IL-33	IL-4	IL-5	IL-6	IL-7	IL-8	IP-10	MCP-1	MCP-3	MDC	MIP-1alpha	MIP-1beta	MIP-3alpha	MIP-3beta	PDGF-AA	PDGF-AB/BB	RANTES	TGF-alpha	TNF-alpha	TNF-beta	TRAIL	VEGF
Background0	Blank	A1,A2	2	Checked																																																		
Standard1	Standard	B1,B2	2	Checked	46915.56	535050.83		19231.52	6511.66	5234.45	16629.98	155860.83	15625.17	11477.96	5650.61	11846.69	5132.14	4166.59	1527.93	31858.90	20054.23	10670.89	31088.83	2006.18	5077.27	9705.16	704.46	3527.16	2425.16	8594.57	1868.19	10457.22	7711.89	647.84	5788.02	6128.26	1892.66	1236.08	1767.60	2421.74	12843.04		3131.18	43733.61	374.63	2253.60	4673.68		187991.64	6310.66	8612.50	280.18	17909.13	4607.25
Standard2	Standard	C1,C2	2	Checked	15539.42	86789.12	432.99	6462.42	2412.97	2174.22	6808.86	50333.60	5720.88	3981.03	2023.58	4468.79	1945.53	1402.04	526.22	10511.03	6439.07	3583.19	10812.49	701.11	1787.56	3449.39	247.86	1278.67	877.20	3206.10	641.04	3760.65	2952.01	223.41	1851.84	2136.33	653.03	446.72	585.79	893.17	4995.21	5143.21	978.93	16875.43	156.86	862.13	1715.26	3605.00	64915.51	1758.16	3160.47	93.79	6523.72	1661.68
Standard3	Standard	D1,D2	2	Checked	5088.02	48549.94	151.89	2109.63	737.07	608.76	1927.85	16746.60	1771.59	1295.97	622.97	1532.40	688.66	464.15	166.00	3520.03	2119.28	1186.94	3502.84	216.97	565.99	1100.60	74.28	377.08	265.48	969.59	210.26	1176.88	858.47	70.42	630.83	669.65	207.00	141.53	197.28	279.86	1652.18	1650.09	331.19	5160.22	44.26	268.68	523.00	1260.11	19254.09	633.66	963.80	31.13	1973.01	512.43
Standard4	Standard	E1,E2	2	Checked	1768.06	11042.24	48.53	719.94	246.93	200.98	649.93	5838.44	593.01	436.53	215.02	510.21	217.87	160.35	56.53	1184.01	721.88	399.69	1188.72	75.91	194.12	373.23	26.56	127.39	90.67	330.63	70.55	405.35	290.19	24.55	209.20	234.33	71.17	48.86	65.44	96.62	520.82	582.87	110.80	1783.63	15.08	90.81	178.42	439.10	6648.93	207.98	329.27	10.60	685.10	174.03
Standard5	Standard	F1,F2	2	Checked	564.89	4462.84	15.95	235.83	81.71	71.86	221.95	1878.91	202.72	143.98	70.46	160.53	72.66	50.53	17.96	381.43	236.51	131.32	392.91	24.93	63.62	122.44	8.40	43.21	30.47	112.83	23.31	134.46	99.55	7.92	68.34	75.30	23.65	15.08	21.42	32.00	182.08	185.33	36.23	591.06	5.29	29.57	59.09	135.93	2206.35	67.36	107.48	3.37	228.31	57.98
Standard6	Standard	G1,G2	2	Checked	194.51	1588.15	5.70	80.19	30.10	27.06	81.33	641.96	70.45	49.62	24.45	57.17	25.01	18.33	6.69	135.63	83.61	45.60	132.19	8.48	22.38	42.59	2.90	15.97	10.70	38.97	8.02	46.71	35.43	2.83	23.72	26.85	8.06	5.47	7.43	10.60	58.48	65.42	12.27	199.54	1.88	10.59	21.39	48.87	826.62	23.69	38.83	1.19	80.16	20.52
Standard7	Standard	H1,H2	2	Checked	64.12	549.13	1.72	26.66	9.49	7.86	24.14	210.20	21.51	15.82	7.92	19.36	8.10	5.63	1.97	42.99	26.43	14.71	43.80	2.79	7.07	13.24	0.96	4.72	3.35	12.45	2.59	14.97	10.57	0.90	7.66	8.57	2.57	1.69	2.40	3.55	20.01	21.14	4.00	65.07	0.57	3.28	6.47	15.20	230.25	7.37	12.16	0.43	25.35	6.47
Unknown1	Unknown	A3,A5	2	Checked	90.97	1150.37	2.60	31.61	16.69	11.41	50.19	335.11	33.56	23.76	11.59	121.38	13.68	7.74	3.89	51.74	64.82	22.92	68.21	2.62	13.80	38.67	1.56	7.82	4.54	23.98	7.33	31.70	31.77	1.61	2.85	16.73	5.79	3.13	4.94	6.40	25.39	147.21	34.04	354.69	1.14	5.69	11.89	21.70	580.70	15.52	75.31	1.02	42.78	10.26
Unknown2	Unknown	B3,B5	2	Checked	26990.93	251730.68	542.97	10189.76	4148.35	3422.22	10258.81	86947.96	9296.44	6764.22	3209.64	6892.57	3021.79	2444.29	939.31	16621.30	14805.45	6787.79	17603.86	1149.58	3147.38	6436.25	358.83	2142.57	1414.51	5123.51	1254.10	6225.46	4980.27	376.49	2561.44	3735.77	1143.12	726.20	1058.75	1477.72	5697.43	4692.21	1680.40	21850.07	221.39	1238.97	2851.80	4133.79	117433.44	2644.91	5020.43	189.77	10666.88	2622.82
